tweet,label
Gerçekten yaşıyor musun?,1
Eee çaylar içildi mi?,1
Kaç kadının daha gülüşü solacak?,1
Devletin tüm imkanlarını kullanıp yangına müdahele uçağı alma veya thk uçaklarını tamir zamanı gelmedi mi,1
"Devletin elinden bir şey gel e mediği için o halk yardım istiyor . Yandık , hala yanıyoruz kaç gün oldu . Neymiş",1
Kimlerin aklına geliyorum ki  ?,1
PKK dediğin örgüt insan öldürüyor ideoloji için . Ağaç yaksa iki tane bebenin eline kağıt mı verir,1
Herkes bize roma geldi diyor ama olum biz niye düşünüyoruz bunu,1
Zenginleri öldüreceğiz tweeti kime aitti?,1
Benim paramı istiyorlar mı,1
Alınmamış her önlem de vatan hainliği değil de nedir?,1
"Hala daha Avrupa bizi kıskanıyor, kendi kendimize yeteriz diyenler yokmu??",1
"Sormazlar mı  Ne verdin, ne aldın?",1
Ülkemiz yok oluyor ya devlet nerede???,1
Sana mı soracak ordu ne yapacağını  ?,1
selam nasılsınız?,1
Bana 10 TL yolla diye mesaj gelecek kimse utanmayacak ben helpturkey yazdım diye utanıcam ?,1
Herkes Roma konuşuyor da Trabzon Molde yi geçebilecek mi?,1
Twitter a tweet atmaya girince neler oluyor,1
"ULAN ŞEREF YOKSUNLARI.. YANGINI ELİNLE SÖNDÜRECEK HALİN YOK LOJİSTİKTEN SORUMLUSUN YA MADEM, BARİ ONU BECER DA AQ?",1
Ülkemizin ENVANTERİNDE Kaç HIRSIZ var?,1
New York alıcılı açtı. Bakalım PMI verisinden sonra devamı gelecek mi?,1
"bu kadar sinir , öfke kriz , bunalım ne şekilde çıkacak",1
Asıl sen beni hiç anlamadın . Tepinmişim üstünde . Ben sana ne yaptım ya,1
"Bugün bir kadın daha öldü,öldürüldü. O kadın kurduğu hayallerde boğuldu. Peki siz yaşıyor musunuz?",1
"dünya yetmiyor bazen, bırakıp gidebilir miyim?",1
bütün bu belediye başkanları uçak helikopter istediğine göre sn bakanın dediği uçaklar nerede???,1
HelpTurkey gurur yapanlar suriyelileri ülkeye alırken nerdeydiler?,1
Katar dan ses var mı Katar dan,1
Haftaya ankaraya geçiyorum ama içimde 0 heyecan var... N oldu bizim gençliğimize?,1
türkiyenin gidişatı nereye gidiyor?,1
Sizce Selahattin Alpay şu an çiğ köfte mi yiyordur?,1
"Ne ara bu kadar vicdansız oldunuz , sizi bu kadar bencil vurdumduymaz yapan şey ne",1
E o zaman nerde bu helikopterler uçaklar?,1
Oyun bitti diyoruz ya sonra,1
Sahi bir devletin görevleri ne idi?,1
"Hmm ben geldim, nasılsınızz?",1
ama bu kadar organize bir yönetim yok diye sorgulamayı da mı düşünemiyor?,1
"3 gündür Amedde ishal , şiddetli karin agrisi , bulantı şikayetiyle yıkiliyoruz var mı",1
Sesinizin çıkması  Yeter artık dur   demeniz için daha ne olması gerekiyor?,1
"Neyi kurtaracağımızı şaşırdık artık çocukları mı, kadınları mı, ağaçları mı, hayvanları mı ?",1
liseye gidemiyorum,1
Ptt sehir subesini ariyorum ariyorum acmiyor neden????,1
"Biz yangınla mi mücadele edelim , kadına şiddetle mi , sel felaketiyle mi , ekonomik krizle mi",1
bi arkadasima paypal lazim para gondermesi gerekiyor yardim edebilecek olan var mi?,1
"Arkadaşlar, bu sitede aptal insanlara mantıklı argümanlar ile laf anlatmaya çalıştığınızı falan görüyorum. Rly?",1
Bu mu strong Türkiye,1
"biz artık ülkede kendimizi mi koruyalım , ağaçları mı , hayvanları mı",1
"Peki o kötülere,  hak etmeyenlere denk geleni hayat neden seninle denk getirdi?",1
Sistematik göç tehdidi ile TR kontrol mu edilmek isteniyor???,1
Nasıl bir ülkenin bakanı iş bizde değil belediyelerde diyebilir nasıl,1
Halk her şeyi kendi elleriyle yapacaksa size ne gerek var?,1
Neden hala bir seyler olmuyor?,1
Yardım istemenin nesi kötü olabilir,1
Ormanları yakanların yakalanması için ne yapılıyor acaba? İç işleri çalışma başlattı mı?,1
"Kadına, Şiddeti evin önüne Polis dikerek değil?",1
Türkiye nin kurtuluşu için birilerinin peşinden koşmak mı gerekiyor?,1
benim neden sokağın ortasında öldürülme ihtimalim var,1
Kimsiniz?,1
"Yarın , hatta 1 saat sonra o hashtaglerde benim , bizim adimizin geçmeyeceği ne malum",1
Birilerinin artık somut bir şeyler yapması için aynı durumu kendi evlatlarının mı yaşaması gerekiyor,1
Halk buna vurgu yapmak istiyor olabilir mi?,1
Şu serefsiz bölücüyü tutuklayacak Savcı yok mu,1
Hani memleket gönül işiydi ?,1
Dersimde yanıyor niye söz konusu değil niye dersim icin tag açılmadı niye konusulmuyor oradakiler insan degilmi?,1
dershanelerde tm siniflarina fen dersi vermiyolarmis,1
Orman yangınlarının beşinci günü değil mi,1
Dünya neden susuyor ?,1
AzraGülendamHaytaoğlu Azra ya bunu yapana ne olacak peki,1
Tenis oynarken topu yakalamak için geriye giden ve yüz üstü kapaklanan ve dizini yaran mal sizce kimdir?,1
O değil de TSK nerede?,1
Seferberlik ilan etmek için ne olması lazım daha?,1
ALLAHBELANIZIVERSIN bu nasıl birşey,1
HİÇ DÜŞÜNDÜK MÜ ??,1
İnsanlık öldü mü,1
"Türkiye Cumhuriyeti Devleti aciz değil, devletin başındaki hükümet aciz, anlamamakta niye direniyorsunuz? Siz salak mısınız acaba?",1
helpmeturkey  milletvekilleri nerede?,1
Hep beraber bileklerimizi keselim mi?,1
Ölüyoruz öldürülüyoruz İdam gelmesi için daha kaç canımız gidecek,1
Türkiye hükümetinin bazı yardımları kabul etmediğini duydunuz mu,1
MODERNizatsiyashtirilganligimizdandirda?,1
AĞAÇLARI MI HAYVANLARI MI ÇOCUKLARI MI YOKSA KADINLARI Mİ?,1
Abla her fotoda kadrajı biranın içine içine neden sokuyorsun ?,1
"bodrumyaniyor havadandestekistiyoruz lütfen artık duyun, nerde uçak helikopter ?",1
İnsan kendi ülkesinden nefret eder mi,1
"Ülke yandı , bitti , kül oldu eridik be orspu çocukları eridik neredesiniz",1
Tatildeymiş gibi fotoğraf atan ama aslında evin önünde olanlar burda mııı?,1
"Ateşi yakan belli ateşin çocukları denen şahıslar bunların diğer uzantısı PKK , e PKK yı kim destekliyor",1
Yangın söndürmek için kiralanan Mİ 17 helikopterinin aynısından Jandarma envanterinde 19 adet olduğunu biliyor muydunuz?,1
Goz gore gore nasil bu kadar rahat yalan soyleyebiliyosunuz ya hic mi dusunmuyosunuz ortaya cikacagini?,1
Bizim neden hep bir yerlerde öldürülme ihtimalimiz var,1
Aşağı sokakta elektrik kablosu yanıyor nereyi aramalıyız?,1
"Istemiyorum  dedim diye hakarete uğradım, dayak yedim. Neden ki?",1
"Ezberim de yüzün, öyle Silmek kolay mı?",1
"Orman yangını , Kadın cinayeti , Hayvanlara eziyet , Yolsuzluk , İşsizlik , Ekonomi",1
"Ulan yalakalar , ulan fitneci biatçı yavşaklar hani güç nerede güç",1
Adet yerini bulsun diye İYİ AKŞAMLAR desem kızmazsınız demi ?,1
Türk ordusu Çanakkale savaşını mı bekliyor . Memleket yandı . Türk ordusu nerede,1
Abi bu ülkenin en zengin ilk 10 insanı nerede,1
"Yardım çağrısı ağırına giden ünlüler insanların evleri yanıyor, ağaçlar ve canlılar yanıyor bunlar neden ağırınıza gitmiyor?",1
Devletimin yanındayım demek bu kadar mı zor?,1
1 yıldır para bırıktırıyorum demın saydım 46 tl cıktı,1
Kaldı mı böyle erkekler ?,1
reel alışverişe çıkarıcak olan,1
Türkiye en çok VIP uçağın kullanıldığı ülke . En çok makam arabasının kullanıldığı ülke . Hiç mi içiniz acımıyor,1
Aloo burda mısınız,1
"Ülke yanıyor,  para ver  diyorsun. Ülke be    Hiç mi sahip çıkılmayacak, nedir bu sessizlik ?",1
Günlerdir hissettiğim bu şey ben yarım mı kaldım ?,1
"Neyi kurtaracağımızı şaşırdık..  Ağaçları mı, kadınları mı, çocukları mı, hayvanları mı???",1
Bizler daha ne kadar öldürüleceğiz,1
Ülkeye soktuğunuz bu şerefsizlerin gerçekten savaştan kaçan mağdur insanlar olduğunu hala düşünüyor musunuz,1
"Şimdi bu cinayeti işleyen orospu çocuğunun , hukuken , insan hakkı , yaşama hakkı mı var",1
JİN siviller sivilce mi konuşur?,1
"Ya gerçekten neden h la neden , bu yangınlar söndürülemiyor",1
Kim ulan bu Roma,1
"Artık neyi kurtaracağımızı şaşırdık kadınlarımı , çocuklarımı , ağaçlarımı",1
Yangınlarla mı mücadele edelim? Yoksa kadınlarımızı taciz edip öldüren ORUSPU ÇOCUKLARIYLA mı mücadele edelim?,1
Bugün neden intihar etmediniz,1
Sahi Suriye lelilere yapılan yardımlar ile kaç yangın söndürme filosu kurardık ?,1
Aloooo    THK  Neredesin ?,1
Mecidiyeköy de kabloneti cortlayan sadece ben miyim?,1
Kadınları mı,1
Jizzaxda amerikani vaksinasini olganlar bormi,1
"Ülke yangın yerine dönmüş, neden sahada asker yok ?",1
ispartayaniyor Toroslar yanıyor Ağacımız ormanımız olmadıktan sonra ne işe yararız ki biz,1
türkiye Allah aşkına iki fidan la olmaz bu işler . Zaten var olan ağaçları neden yenilemek zorunda kalıyoruz,1
